id,nome,status,estado_id
195,SATUBA,1,2
196,SENADOR RUI PALMEIRA,1,2
197,TANQUE D`ARCA,1,2
198,TAQUARANA,1,2
199,TEOTONIO VILELA,1,2
200,TRAIPU,1,2
201,UNIAO DOS PALMARES,1,2
202,VICOSA,1,2
203,AMAPA,1,4
204,CALCOENE,1,4
205,CUTIAS,1,4
206,FERREIRA GOMES,1,4
207,ITAUBAL,1,4
208,LARANJAL DO JARI,1,4
209,MACAPA,1,4
210,MAZAGAO,1,4
211,OIAPOQUE,1,4
212,PEDRA BRANCA DO AMAPARI,1,4
213,PORTO GRANDE,1,4
214,PRACUUBA,1,4
215,SANTANA,1,4
216,SERRA DO NAVIO,1,4
217,TARTARUGALZINHO,1,4
218,VITORIA DO JARI,1,4
219,ALVARAES,1,3
220,AMATURA,1,3
221,ANAMA,1,3
222,ANORI,1,3
223,APUI,1,3
224,ATALAIA DO NORTE,1,3
225,AUTAZES,1,3
226,BARCELOS,1,3
227,BARREIRINHA,1,3
228,BENJAMIN CONSTANT,1,3
229,BERURI,1,3
230,BOA VISTA DO RAMOS,1,3
231,BOCA DO ACRE,1,3
232,BORBA,1,3
233,CAAPIRANGA,1,3
234,CANUTAMA,1,3
235,CARAUARI,1,3
236,CAREIRO,1,3
237,CAREIRO DA VARZEA,1,3
238,COARI,1,3
239,CODAJAS,1,3
240,EIRUNEPE,1,3
241,ENVIRA,1,3
242,FONTE BOA,1,3
243,GUAJARA,1,3
244,HUMAITA,1,3
245,IPIXUNA,1,3
246,IRANDUBA,1,3
247,ITACOATIARA,1,3
248,ITAMARATI,1,3
249,ITAPIRANGA,1,3
250,JAPURA,1,3
251,JURUA,1,3
252,JUTAI,1,3
253,LABREA,1,3
254,MANACAPURU,1,3
255,MANAQUIRI,1,3
256,MANAUS,1,3
257,MANICORE,1,3
258,MARAA,1,3
259,MAUES,1,3
260,NHAMUNDA,1,3
261,NOVA OLINDA DO NORTE,1,3
262,NOVO AIRAO,1,3
263,NOVO ARIPUANA,1,3
264,PARINTINS,1,3
265,PAUINI,1,3
266,PRESIDENTE FIGUEIREDO,1,3
267,RIO PRETO DA EVA,1,3
268,SANTA ISABEL DO RIO NEGRO,1,3
269,SANTO ANTONIO DO ICA,1,3
270,SAO GABRIEL DA CACHOEIRA,1,3
271,SAO PAULO DE OLIVENCA,1,3
272,SAO SEBASTIAO DO UATUMA,1,3
273,SILVES,1,3
274,TABATINGA,1,3
275,TAPAUA,1,3
276,TEFE,1,3
277,TONANTINS,1,3
278,UARINI,1,3
279,URUCARA,1,3
280,URUCURITUBA,1,3
281,ABAIRA,1,5
282,ABARE,1,5
283,ACAJUTIBA,1,5
284,ADUSTINA,1,5
285,AGUA FRIA,1,5
286,AIQUARA,1,5
287,ALAGOINHAS,1,5
288,ALCOBACA,1,5
289,ALMADINA,1,5
290,AMARGOSA,1,5
291,AMELIA RODRIGUES,1,5
292,AMERICA DOURADA,1,5
293,ANAGE,1,5
294,ANDARAI,1,5
295,ANDORINHA,1,5
296,ANGICAL,1,5
297,ANGUERA,1,5
298,ANTAS,1,5
299,ANTONIO CARDOSO,1,5
300,ANTONIO GONCALVES,1,5
301,APORA,1,5
302,APUAREMA,1,5
303,ARACAS,1,5
304,ARACATU,1,5
305,ARACI,1,5
306,ARAMARI,1,5
307,ARATACA,1,5
308,ARATUIPE,1,5
309,AURELINO LEAL,1,5
310,BAIANOPOLIS,1,5
311,BAIXA GRANDE,1,5
312,BANZAE,1,5
313,BARRA,1,5
314,BARRA DA ESTIVA,1,5
315,BARRA DO CHOCA,1,5
316,BARRA DO MENDES,1,5
317,BARRA DO ROCHA,1,5
318,BARREIRAS,1,5
319,BARRO ALTO,1,5
320,BARRO PRETO (ANTIGO GOV. LOMANTO JR.),1,5
321,BARROCAS,1,5
322,BELMONTE,1,5
323,BELO CAMPO,1,5
324,BIRITINGA,1,5
325,BOA NOVA,1,5
326,BOA VISTA DO TUPIM,1,5
327,BOM JESUS DA LAPA,1,5
328,BOM JESUS DA SERRA,1,5
329,BONINAL,1,5
330,BONITO,1,5
331,BOQUIRA,1,5
332,BOTUPORA,1,5
333,BREJOES,1,5
334,BREJOLANDIA,1,5
335,BROTAS DE MACAUBAS,1,5
336,BRUMADO,1,5
337,BUERAREMA,1,5
338,BURITIRAMA,1,5
339,CAATIBA,1,5
340,CABACEIRAS DO PARAGUACU,1,5
341,CACHOEIRA,1,5
342,CACULE,1,5
343,CAEM,1,5
344,CAETANOS,1,5
345,CAETITE,1,5
346,CAFARNAUM,1,5
347,CAIRU,1,5
348,CALDEIRAO GRANDE,1,5
349,CAMACAN,1,5
350,CAMACARI,1,5
351,CAMAMU,1,5
352,CAMPO ALEGRE DE LOURDES,1,5
353,CAMPO FORMOSO,1,5
354,CANAPOLIS,1,5
355,CANARANA,1,5
356,CANAVIEIRAS,1,5
357,CANDEAL,1,5
358,CANDEIAS,1,5
359,CANDIBA,1,5
360,CANDIDO SALES,1,5
361,CANSANCAO,1,5
362,CANUDOS,1,5
363,CAPELA DO ALTO ALEGRE,1,5
364,CAPIM GROSSO,1,5
365,CARAIBAS,1,5
366,CARAVELAS,1,5
367,CARDEAL DA SILVA,1,5
368,CARINHANHA,1,5
369,CASA NOVA,1,5
370,CASTRO ALVES,1,5
371,CATOLANDIA,1,5
372,CATU,1,5
373,CATURAMA,1,5
374,CENTRAL,1,5
375,CHORROCHO,1,5
376,CICERO DANTAS,1,5
377,CIPO,1,5
378,COARACI,1,5
379,COCOS,1,5
380,CONCEICAO DA FEIRA,1,5
381,CONCEICAO DO ALMEIDA,1,5
382,CONCEICAO DO COITE,1,5
383,CONCEICAO DO JACUIPE,1,5
384,CONDE,1,5
385,CONDEUBA,1,5
386,CONTENDAS DO SINCORA,1,5
387,CORACAO DE MARIA,1,5
388,CORDEIROS,1,5
